#			1
GMJI   38.30    1.000   S
BLJI   50.10    1.000   S
JAGI   50.10    1.000   S
#			54
PCJI   14.40    1.000   P
SMRI   18.90    1.000   P
SCJI   22.40    1.000   P
PWJI   24.00    1.000   P
SWJI   24.30    1.000   P
PCJI   24.80    1.000   S
CTJI   28.50    1.000   P
TBJI   31.70    1.000   P
CMJI   32.00    1.000   P
SMRI   32.80    1.000   S
GRJI   37.60    1.000   P
PWJI   41.20    1.000   S
GMJI   48.00    1.000   P
LEM   49.40    1.000   P
CTJI   50.20    1.000   S
BLJI   50.50    1.000   P
TBJI   55.80    1.000   S
ABJI   58.40    1.000   P
JAGI   58.70    1.000   P
GRJI   67.00    1.000   S
GMJI   86.40    1.000   S
JAGI   101.20    1.000   S
#			55
GMJI   19.40    1.000   P
PWJI   23.80    1.000   P
JAGI   25.60    1.000   P
SWJI   28.00    1.000   P
BLJI   28.20    1.000   P
PCJI   30.10    1.000   P
ABJI   34.10    1.000   P
GMJI   35.00    1.000   S
PWJI   41.10    1.000   S
JAGI   47.90    1.000   S
BLJI   48.70    1.000   S
SWJI   51.00    1.000   S
PCJI   53.90    1.000   S
ABJI   58.70    1.000   S
#			56
JAGI   28.00    1.000   P
PWJI   28.20    1.000   P
BLJI   31.70    1.000   P
PCJI   32.60    1.000   P
SWJI   32.80    1.000   P
BYJI   33.40    1.000   P
ABJI   35.90    1.000   P
GRJI   42.10    1.000   P
KMMI   42.30    1.000   P
PWJI   49.00    1.000   S
JAGI   49.30    1.000   S
BLJI   54.60    1.000   S
PCJI   58.10    1.000   S
ABJI   66.30    1.000   S
#			57
BLJI   12.60    1.000   P
GRJI   18.10    1.000   P
PWJI   21.20    1.000   P
BLJI   21.60    1.000   S
KMMI   21.90    1.000   P
SWJI   22.50    1.000   P
ABJI   23.20    1.000   P
JAGI   24.20    1.000   P
GRJI   32.20    1.000   S
SWJI   38.00    1.000   S
KMMI   39.40    1.000   S
JAGI   43.50    1.000   S
#			58
PCJI   6.50    1.000   P
PCJI   11.00    1.000   S
PWJI   15.30    1.000   P
SWJI   18.00    1.000   P
PWJI   26.30    1.000   S
SWJI   31.40    1.000   S
GRJI   34.40    1.000   P
KPJI   37.60    1.000   P
GMJI   38.20    1.000   P
JAGI   48.60    1.000   P
GRJI   61.10    1.000   S
JAGI   84.60    1.000   S
#			59
PCJI   44.50    1.000   P
PWJI   45.90    1.000   P
GMJI   49.30    1.000   P
SWJI   50.90    1.000   P
JAGI   52.70    1.000   P
BLJI   57.70    1.000   P
ABJI   61.40    1.000   P
GRJI   63.30    1.000   P
CMJI   68.90    1.000   P
PCJI   80.20    1.000   S
GMJI   86.30    1.000   S
