X          Y          VP
111.981340 -7.530081  10.950 
111.867904 -7.433512   6.671 
111.441691 -8.931346  25.921 
112.591292 -9.231045   3.618 
111.626522 -10.36682   3.8839 
111.914119 -7.380021   2.852 
112.509513 -8.883909  50.598 
112.887858 -9.469273   1.448 
112.785091 -9.698845   2.002 
110.694466 -6.227687 595.598 
112.145801 -9.604019   6.480 
112.916439 -8.791543  69.241 
110.941325 -8.703119  77.475 
112.486816 -9.385592   5.868 
111.443758 -8.956262   6.084 
112.461784 -9.465875   1.557 
110.183285 -9.063890   4.219 
111.453703 -8.930778  14.733 
111.922176 -6.792821   3.100 
111.448437 -8.933999  11.697 
111.002205 -9.153538   3.354 
112.742928 -9.045226   7.409 
110.859212 -9.036362  81.029 
111.224276 -8.968433  17.975 
112.500895 -11.23613   1.5067 
111.336125 -8.142970 128.528 
112.077262 -9.348828   2.042 
112.890991 -7.588030   5.811 
112.031665 -9.024343  79.738 
112.820435 -9.162727   4.190 
112.475326 -8.906093  24.233 
111.458781 -8.358799 127.162 
112.465324 -8.801855  70.579 
112.911442 -9.592076   1.843 
112.845964 -9.588727  23.748 
112.889079 -9.598485   0.142 
112.107544 -9.202689   3.201 
110.343929 -9.389898   2.261 
110.253548 -9.194953  18.343 
112.103988 -8.998252   2.791 
111.554980 -7.510132   4.785 
110.490755 -7.954489   4.377 
111.888761 -7.619577  35.039 
112.023535 -9.338983  42.116 
110.556445 -9.230208   1.705 
110.514030 -9.320724   0.259 
110.167065 -8.631879  45.325 
111.311922 -8.962860  14.392 
110.244572 -8.466183   3.214 
110.422445 -9.361891   7.263 
111.046948 -8.700415  48.510 
110.858122 -8.931463   8.977 
110.752100 -10.94264  29.6144 
112.990511 -9.330811  46.673 
112.139209 -7.938641 179.397 
112.966772 -9.227787   3.923 
111.458252 -11.40910   9.9488 
112.876221 -8.014619 148.635 
110.331209 -7.850786   1.787 
112.383382 -9.105369  61.728 
111.735327 -8.775304   7.660 
110.438794 -7.982077   6.095 
111.981095 -8.527038 107.597 
